"","Alpha_2","Name","Station","ICAO","IATA","SYNOP","LAT","LONG","ELEV"
"74","MX","Mexico","   ISLA SOCORRO     ","MMSC  ","SOC   ","76723 "," 18 43N "," 110 57W ","  35  "
"75","MX","Mexico","   IXTAPA ZIHUATANE ","MMZH  ","ZIH   ","      "," 17 36N "," 101 28W ","   6  "
"76","MX","Mexico","   IXTEPEC OX       ","MMIT  ","MIT   ","      "," 16 27N "," 095 05W ","  61  "
"77","MX","Mexico","   LA PAZ INTL AIRP ","MMLP  ","LAP   ","      "," 24 04N "," 110 22W ","  21  "
"78","MX","Mexico","   LA PAZ           ","      ","      ","76405 "," 24 10N "," 110 18W ","  18  "
"79","MX","Mexico","   LORETO           ","MMLT  ","LTO   ","76305 "," 26 01N "," 111 20W ","  15  "
"80","MX","Mexico","   LOS MOCHIS AIRPO ","MMLM  ","LMM   ","      "," 25 40N "," 109 04W ","   4  "
"81","MX","Mexico","   MANZANILLO INTL  ","MMZO  ","ZLO   ","      "," 19 08N "," 104 34W ","   8  "
"82","MX","Mexico","   MANZANILLO       ","      ","      ","76654 "," 19 03N "," 104 19W ","   3  "
"83","MX","Mexico","   MATAMOROS INTL   ","MMMA  ","MAM   ","      "," 25 46N "," 097 31W ","   8  "
"84","MX","Mexico","   MAZATLAN/G. BUEL ","MMMZ  ","MZT   ","      "," 23 10N "," 106 16W ","  10  "
"85","MX","Mexico","   MAZATLAN         ","      ","      ","76458 "," 23 12N "," 106 25W ","   4  "
"86","MX","Mexico","   MERIDA INTL ARPT ","MMMD  ","MID   ","76644 "," 20 57N "," 089 39W ","  10  "
"87","MX","Mexico","   MEXICALI INTL AR ","MMML  ","MXL   ","      "," 32 37N "," 115 14W ","  22  "
"88","MX","Mexico","   MEXICO CITY/LICE ","MMMX  ","MEX   ","      "," 19 25N "," 099 05W ","2238  "
"89","MX","Mexico","   MEXICO CITY/TACU ","      ","      ","76679 "," 19 24N "," 099 12W ","2313  "
"90","MX","Mexico","   MINATITLAN       ","MMMT  ","MTT   ","      "," 18 06N "," 094 34W ","  40  "
"91","MX","Mexico","   MONCLOVA         ","MMMV  ","MOV   ","76342 "," 26 57N "," 101 28W "," 615  "
"92","MX","Mexico","   MONTERREY INTL A ","MMAN  ","MAN   ","76394 "," 25 52N "," 100 14W "," 448  "
"93","MX","Mexico","   MONTERREY/GEN MA ","MMMY  ","MTY   ","      "," 25 46N "," 100 05W "," 387  "
"94","MX","Mexico","   MORELIA NEW      ","MMMM  ","MLM   ","76665 "," 19 51N "," 101 01W ","1833  "
"95","MX","Mexico","   NOGALES          ","MMNG  ","NOG   ","      "," 31 13N "," 110 58W ","1222  "
"96","MX","Mexico","   NUEVO LAREDO INT ","MMNL  ","NLD   ","      "," 27 25N "," 099 34W "," 148  "
"97","MX","Mexico","   OAXACA/XOXOCOTLA ","MMOX  ","OAX   ","76775 "," 17 00N "," 096 43W ","1528  "
"98","MX","Mexico","   PIEDRAS NEGRAS   ","MMPG  ","PNG   ","76243 "," 28 39N "," 100 31W "," 250  "
"99","MX","Mexico","   POCA RICA-TAJIN  ","MMPA  ","PAZ   ","      "," 20 30N "," 097 28W "," 142  "
"100","MX","Mexico","   PUEBLA           ","MMPB  ","PBC   ","76685 "," 19 10N "," 098 22W ","2244  "
"101","MX","Mexico","   PUERTO PENASCO   ","MMPE  ","      ","      "," 31 21N "," 113 31W ","   9  "
"102","MX","Mexico","   PUERTO ESCONDIDO ","MMPS  ","PXM   ","      "," 15 52N "," 097 04W ","  88  "
"103","MX","Mexico","   PUERTO VALLARTA  ","MMPR  ","PVR   ","      "," 20 40N "," 105 15W ","   6  "
"104","MX","Mexico","   PUNTA PENASCO    ","      ","PPE   ","76061 "," 31 11N "," 113 20W ","  14  "
"105","MX","Mexico","   QUERETARO        ","MMQT  ","QRO   ","76625 "," 20 37N "," 100 11W ","1813  "
"106","MX","Mexico","   REYNOSA INTL ARP ","MMRX  ","REX   ","      "," 26 01N "," 098 13W ","  39  "
"107","MX","Mexico","   SALTILLO         ","MMIO  ","SLW   ","76390 "," 25 33N "," 100 56W ","1790  "
"108","MX","Mexico","   SAN JOSE DEL CAB ","MMSD  ","SJD   ","      "," 23 08N "," 109 42W "," 109  "
"109","MX","Mexico","   CABO SAN LUCAS   ","MMSL  ","      ","      "," 22 57N "," 109 56W "," 140  "
"110","MX","Mexico","   SAN LUIS POTOSI  ","MMSP  ","SLP   ","76539 "," 22 15N "," 100 56W ","1903  "
"111","MX","Mexico","   SANTA ROSALIA    ","      ","SRL   ","76253 "," 27 19N "," 112 17W ","  75  "
"112","MX","Mexico","   TAMPICO/GEN FJ M ","MMTM  ","TAM   ","76548 "," 22 16N "," 097 52W ","  24  "
"113","MX","Mexico","   TAPACHULA        ","MMTP  ","TAP   ","      "," 14 46N "," 092 22W ","  29  "
"114","MX","Mexico","   TAPACHULA        ","      ","      ","76903 "," 14 53N "," 092 18W "," 119  "
"115","MX","Mexico","   TEPIC            ","MMEP  ","TPQ   ","76556 "," 21 25N "," 104 51W "," 922  "
"116","MX","Mexico","   TIJUANA INTL ARP ","MMTJ  ","TIJ   ","      "," 32 32N "," 116 58W "," 152  "
"117","MX","Mexico","   TOLUCA/JOSE MARI ","MMTO  ","TLC   ","      "," 19 21N "," 099 34W ","2576  "
"118","MX","Mexico","   TORREON AIRPORT  ","MMTC  ","TRC   ","76382 "," 25 34N "," 103 24W ","1124  "
"119","MX","Mexico","   TULANCINGO       ","MMTL  ","TCG   ","76634 "," 20 04N "," 098 22W ","2181  "
"120","MX","Mexico","   TUXTLA GUTIERREZ ","MMTG  ","TGZ   ","76843 "," 16 34N "," 093 02W "," 528  "
"121","MX","Mexico","   TUXTLA GUTIERREZ ","MMTB  ","TGM   ","      "," 16 44N "," 093 10W "," 528  "
"122","MX","Mexico","   URUAPAN/GEN RAYO ","MMPN  ","UPN   ","      "," 19 23N "," 102 01W ","1593  "
